Student ID,Course1,Course2,Course3,Course4,Course5
20125020,CS161,PH211,MTH251,CM101,BAA00101
20125022,CS161,PH211,MTH251,CM101,BAA00101
20125028,CS161,PH211,MTH251,CM101,BAA00101
20125030,CS161,PH211,MTH251,CM101,BAA00101
20125044,CS161,PH211,MTH251,CM101,BAA00101
20125047,CS161,PH211,MTH251,CM101,BAA00101
20125049,CS161,PH211,MTH251,CM101,BAA00101
20125051,CS161,PH211,MTH251,CM101,BAA00101
20125053,CS161,PH211,MTH251,CM101,BAA00101
20125055,CS161,PH211,MTH251,CM101,BAA00101
20125061,CS161,PH211,MTH251,CM101,BAA00101
20125070,CS161,PH211,MTH251,CM101,BAA00101
20125071,CS161,PH211,MTH251,CM101,BAA00101
20125074,CS161,PH211,MTH251,CM101,BAA00101
20125075,CS161,PH211,MTH251,CM101,BAA00101
20125076,CS161,PH211,MTH251,CM101,BAA00101
20125077,CS161,PH211,MTH251,CM101,BAA00101
20125086,CS161,PH211,MTH251,CM101,BAA00101
20125087,CS161,PH211,MTH251,CM101,BAA00101
20125088,CS161,PH211,MTH251,CM101,BAA00101
20125089,CS161,PH211,MTH251,CM101,BAA00101
20125091,CS161,PH211,MTH251,CM101,BAA00101
20125092,CS161,PH211,MTH251,CM101,BAA00101
20125094,CS161,PH211,MTH251,CM101,BAA00101
20125096,CS161,PH211,MTH251,CM101,BAA00101
20125097,CS161,PH211,MTH251,CM101,BAA00101
20125098,CS161,PH211,MTH251,CM101,BAA00101
20125099,CS161,PH211,MTH251,CM101,BAA00101
20125100,CS161,PH211,MTH251,CM101,BAA00101
20125104,CS161,PH211,MTH251,CM101,BAA00101
20125105,CS161,PH211,MTH251,CM101,BAA00101
20125107,CS161,PH211,MTH251,CM101,BAA00101
20125108,CS161,PH211,MTH251,CM101,BAA00101
20125109,CS161,PH211,MTH251,CM101,BAA00101
20125110,CS161,PH211,MTH251,CM101,BAA00101
20125112,CS161,PH211,MTH251,CM101,BAA00101
20125113,CS161,PH211,MTH251,CM101,BAA00101
20125114,CS161,PH211,MTH251,CM101,BAA00101
20125115,CS161,PH211,MTH251,CM101,BAA00101
20125116,CS161,PH211,MTH251,CM101,BAA00101
20125119,CS161,PH211,MTH251,CM101,BAA00101
20125121,CS161,PH211,MTH251,CM101,BAA00101
20125122,CS161,PH211,MTH251,CM101,BAA00101
20125123,CS161,PH211,MTH251,CM101,BAA00101
20125125,CS161,PH211,MTH251,CM101,BAA00101
20125128,CS161,PH211,MTH251,CM101,BAA00101
20125130,CS161,PH211,MTH251,CM101,BAA00101
